ImageX,ImageY,Band01,Band02,Band03,Band04,Band05,Band06,Band07,Band08,Band8A,Band09,Band11,Band12
3,70,11,15,21,29,34,44,48,54,55,75,55,56
3,71,7,12,17,23,31,42,47,56,55,75,48,56
3,72,16,25,35,50,57,65,70,78,78,91,66,78
3,73,8,13,19,25,35,50,55,63,65,77,49,64
3,74,13,21,29,39,47,55,61,69,68,83,60,69
3,75,10,18,25,32,38,62,69,81,77,74,47,77
3,76,11,19,28,34,44,56,62,69,69,81,59,69
3,77,12,20,27,36,41,49,54,61,60,84,62,62
3,78,16,27,39,53,62,71,76,85,86,88,58,86
3,79,14,24,35,50,58,64,69,77,74,99,70,78
3,80,9,12,18,23,32,50,56,65,64,77,50,65
3,81,10,16,23,28,37,50,56,64,63,76,52,64
3,82,10,16,24,31,39,52,57,64,66,80,54,66
3,83,13,21,29,41,49,58,64,72,71,87,65,72
3,84,8,12,17,23,31,40,47,53,58,73,46,57
3,85,9,14,21,27,35,54,62,67,69,74,51,66
3,86,8,9,16,22,32,47,53,62,60,71,44,62
3,87,4,8,16,20,31,47,54,61,63,69,46,63
3,88,3,8,16,19,34,57,64,72,71,71,44,73
3,89,3,6,12,14,25,50,60,68,67,58,38,67
3,90,5,12,21,29,39,49,55,65,69,77,48,68
3,91,3,11,21,26,38,63,73,80,82,71,44,84
3,92,4,12,23,26,42,66,76,86,87,75,47,87
3,93,5,13,20,32,37,54,64,73,72,79,53,73
3,94,4,10,17,25,34,50,55,62,63,73,49,63
3,95,3,8,16,23,32,54,60,67,71,72,44,70
3,96,4,14,22,34,40,47,53,61,63,86,58,63
3,97,0,6,13,16,29,55,64,73,72,75,46,73
3,98,2,8,16,20,33,52,58,66,66,75,47,66
3,99,6,15,24,31,34,50,56,69,65,78,60,63
3,100,12,23,35,53,60,69,75,86,85,103,68,86
3,101,4,11,17,25,34,47,53,62,65,88,58,63
3,102,7,17,27,38,45,59,66,74,76,88,58,75
3,103,4,10,17,21,33,50,57,67,67,79,50,66
3,104,1,8,16,21,32,51,58,66,67,74,46,66
3,105,4,13,21,32,43,58,64,74,74,85,57,74
3,106,11,24,34,47,55,63,69,76,74,98,71,76
3,107,4,10,17,23,34,50,57,67,66,84,56,67
3,108,17,27,36,51,58,61,65,73,75,105,72,73
3,109,12,24,35,54,60,68,75,86,84,97,64,85
3,110,11,21,31,44,52,61,65,75,77,91,62,75
3,111,5,14,22,29,34,53,59,68,68,83,55,68
3,112,4,12,20,27,36,50,56,65,62,76,53,65
3,113,7,17,24,35,41,47,50,59,58,82,62,58
3,114,7,16,24,35,43,55,60,69,64,87,68,68
3,115,9,22,33,48,58,71,77,83,80,93,65,89
3,116,6,13,21,26,35,50,55,65,59,82,65,62
3,117,4,13,19,29,35,40,45,53,56,81,63,53
3,118,2,7,12,20,27,36,42,48,50,70,45,50
3,119,8,14,21,29,34,43,47,54,53,85,69,55
3,120,5,11,18,23,33,45,50,56,58,81,58,57
3,121,5,11,18,23,33,51,61,70,69,81,56,70
3,122,5,10,17,22,31,49,53,60,60,84,52,61
3,123,2,7,13,18,27,43,52,58,57,74,55,61
3,124,1,3,9,12,21,31,36,45,45,60,37,44
3,125,7,14,21,30,38,49,55,61,62,87,63,63
4,1,0,2,4,3,8,24,29,31,33,11,6,32
4,2,0,3,4,3,8,24,29,29,32,12,6,31
4,3,0,3,5,3,10,29,36,41,39,13,6,39
4,4,0,3,5,3,9,27,33,37,37,11,6,36
4,5,0,2,4,3,8,26,31,34,35,10,5,34
4,6,1,4,7,7,15,31,35,39,36,26,13,39
4,7,1,5,7,9,13,25,29,34,34,26,15,33
4,8,1,4,7,8,13,24,26,32,32,28,17,31
4,9,1,4,6,7,12,24,27,31,32,23,14,31
4,10,1,4,7,7,13,25,30,33,35,27,16,33
4,11,0,3,5,4,9,25,29,33,32,15,8,32
4,12,0,3,5,4,9,23,27,31,32,16,8,31
4,13,0,3,5,4,10,25,28,32,31,16,9,32
4,14,1,3,6,6,11,27,31,33,35,20,11,36
4,15,4,6,9,11,17,27,31,34,37,41,26,35
4,16,3,4,7,7,11,24,28,31,36,21,14,31
4,17,3,5,8,8,16,29,34,37,37,30,20,39
4,18,4,5,7,8,15,26,31,34,37,31,19,35
4,19,3,4,7,8,14,29,34,37,34,25,16,39
4,20,2,3,6,6,11,24,29,31,34,20,12,33
4,21,2,3,6,5,10,23,28,31,31,17,10,31
4,22,2,3,5,5,10,22,27,30,30,16,10,30
4,23,4,7,9,12,18,29,33,40,40,40,25,38
4,24,4,5,8,9,18,30,35,36,44,38,26,40
4,25,6,10,14,20,26,37,44,48,57,63,41,51
4,26,8,13,17,24,32,43,49,60,63,69,46,58
4,27,10,16,22,30,38,47,54,63,69,88,57,64
4,28,8,13,19,28,35,43,49,58,68,82,53,59
4,29,7,12,16,23,29,35,39,47,54,70,46,47
4,30,8,11,16,22,29,42,47,53,56,69,47,55
4,31,12,17,22,30,36,43,48,54,60,81,56,55
4,32,5,10,11,11,9,11,13,22,16,15,11,15
4,33,4,8,8,1,1,0,0,0,0,1,1,0
4,34,4,8,8,3,8,6,7,3,9,7,5,7
4,35,8,12,16,22,27,36,40,48,47,56,37,48
4,36,9,12,17,22,31,41,46,56,57,70,46,54
4,37,6,10,13,18,23,29,33,38,40,46,32,39
4,38,5,9,12,16,21,31,35,39,46,40,28,41
4,39,6,10,14,20,25,32,37,42,44,50,34,43
4,40,6,11,15,20,25,31,36,40,41,44,29,41
4,41,4,8,11,15,21,28,32,37,39,44,30,38
4,42,4,8,11,15,19,28,33,39,39,39,27,39
4,43,4,9,12,16,22,32,37,42,45,49,32,43
4,44,5,9,12,15,23,35,39,45,46,48,31,46
4,45,5,9,13,16,22,31,35,39,42,46,32,40
4,46,6,11,14,19,23,32,34,40,41,61,43,40
4,47,8,11,14,21,26,32,37,42,44,66,44,44
