Category,LandType,ImageX,ImageY,Band01,Band02,Band03,Band04,Band05,Band06,Band07,Band08,Band8A,Band09,Band11,Band12
2,Grassland,365,182,10.0,14.0,19.5,27.5,32.5,44.0,48.5,55.5,57.0,76.0,51.0,56.0
2,Grassland,365,192,9.0,14.0,19.0,27.0,33.0,39.0,43.5,50.5,56.0,77.0,53.0,51.5
2,Grassland,375,182,9.5,15.0,20.0,27.0,32.0,38.5,43.0,48.5,55.0,79.5,53.5,50.0
2,Grassland,375,192,9.5,15.0,19.5,27.5,34.5,41.0,45.5,51.5,58.5,81.0,54.0,54.0
2,Grassland,201,332,9.0,13.0,16.0,20.5,28.0,43.0,48.5,54.5,57.0,58.0,42.0,54.0
2,Grassland,201,342,9.0,13.0,16.5,20.5,29.0,45.5,50.0,56.0,59.0,59.0,41.0,57.0
2,Grassland,211,332,9.0,14.5,18.5,23.0,30.0,42.0,46.5,52.5,58.0,64.5,47.0,53.0
2,Grassland,211,342,11.5,16.0,21.0,27.0,33.0,43.0,47.5,54.5,58.5,70.5,52.5,54.0
2,Grassland,360,178,10.0,14.0,18.5,25.0,31.5,38.5,43.5,46.5,57.0,73.5,50.0,50.0
2,Grassland,360,188,9.0,14.0,18.5,25.5,31.0,39.0,44.0,49.0,55.0,75.5,51.5,50.5
2,Grassland,370,178,9.0,14.0,18.0,25.0,30.5,36.5,40.5,46.0,51.5,75.5,52.5,47.5
2,Grassland,370,188,9.0,15.0,19.5,27.5,34.0,40.5,45.5,52.5,58.5,79.5,54.0,54.0
2,Grassland,1393,586,6.0,11.0,15.0,24.0,32.0,41.5,47.5,56.0,59.5,63.0,37.0,57.5
2,Grassland,1393,596,6.0,10.5,15.5,25.0,32.5,40.0,46.0,52.5,61.5,60.0,36.0,55.0
2,Grassland,1403,586,6.0,11.0,15.0,23.0,32.0,41.5,48.5,56.5,63.5,72.0,42.5,59.0
2,Grassland,1403,596,5.5,10.0,15.0,23.5,32.0,41.5,48.5,55.5,60.5,71.0,43.0,59.0
2,Grassland,1347,844,5.0,10.0,15.0,22.0,30.0,40.0,47.5,54.5,60.0,61.5,38.0,58.5
2,Grassland,1347,854,4.0,10.0,15.5,23.5,32.5,42.0,47.5,56.0,51.0,58.5,36.0,58.5
2,Grassland,1357,844,6.0,11.0,15.5,25.0,31.5,38.5,45.5,56.0,62.0,76.0,44.0,58.5
2,Grassland,1357,854,5.5,10.5,16.5,25.0,33.5,44.0,51.0,62.5,65.0,76.0,44.0,63.0
2,Grassland,1287,597,8.0,14.0,20.0,27.5,37.5,50.0,57.0,66.0,72.0,87.5,55.5,67.5
2,Grassland,1287,607,8.0,14.0,19.0,26.5,34.0,45.5,53.0,62.5,67.0,82.0,51.5,63.5
2,Grassland,1297,597,8.0,13.0,19.0,28.0,37.0,48.0,54.5,62.5,70.5,81.5,50.0,66.0
2,Grassland,1297,607,7.5,13.0,18.5,27.0,36.0,45.5,52.0,60.5,68.0,78.5,48.0,62.5
3,Forest,744,1440,1.0,8.0,12.5,15.5,19.0,33.5,38.0,46.5,39.0,33.5,20.5,42.5
3,Forest,744,1450,0.0,2.0,5.5,4.0,12.5,32.5,40.0,44.5,43.0,20.5,10.5,43.0
3,Forest,754,1440,0.0,1.0,4.0,3.0,9.0,25.5,30.5,32.5,35.0,12.5,6.0,33.0
