Category,LandType,ImageX,ImageY,Band01,Band02,Band03,Band04,Band05,Band06,Band07,Band08,Band8A,Band09,Band11,Band12
6,MountainRock,270,920,25.0,25.0,27.0,31.0,35.0,35.0,37.0,40.0,52.0,63.0,64.0,41.0
6,MountainRock,275,905,12.0,16.0,19.0,25.0,28.0,34.0,39.0,41.0,46.0,65.0,55.0,45.0
6,MountainRock,275,910,11.0,15.0,18.0,23.0,29.0,39.0,42.0,48.0,57.0,59.0,51.0,49.0
6,MountainRock,275,915,14.0,16.0,19.0,24.0,28.0,34.0,37.0,41.0,52.0,64.0,59.0,43.0
6,MountainRock,275,920,18.0,19.0,22.0,27.0,31.0,39.0,42.0,46.0,56.0,67.0,64.0,46.0
6,MountainRock,236,852,15.0,18.0,22.0,26.0,31.0,41.0,46.0,52.0,54.0,60.0,53.0,52.0
6,MountainRock,236,857,7.0,9.0,13.0,16.0,19.0,37.0,43.0,44.0,45.0,41.0,37.0,49.0
6,MountainRock,236,862,22.0,27.0,31.0,36.0,45.0,49.0,53.0,58.0,64.0,97.0,89.0,62.0
6,MountainRock,236,867,26.0,33.0,36.0,41.0,44.0,46.0,49.0,55.0,60.0,84.0,84.0,54.0
6,MountainRock,241,852,26.0,28.0,34.0,40.0,42.0,44.0,47.0,52.0,53.0,75.0,76.0,53.0
6,MountainRock,241,857,7.0,4.0,7.0,8.0,19.0,33.0,41.0,42.0,45.0,41.0,32.0,46.0
6,MountainRock,241,862,20.0,20.0,15.0,11.0,14.0,16.0,20.0,22.0,48.0,28.0,26.0,18.0
6,MountainRock,241,867,32.0,31.0,27.0,25.0,38.0,36.0,39.0,32.0,49.0,56.0,53.0,43.0
6,MountainRock,246,852,29.0,32.0,36.0,42.0,48.0,51.0,53.0,58.0,69.0,90.0,85.0,59.0
6,MountainRock,246,857,21.0,27.0,31.0,36.0,40.0,45.0,49.0,56.0,56.0,85.0,72.0,58.0
6,MountainRock,246,862,33.0,44.0,50.0,58.0,56.0,57.0,59.0,72.0,66.0,98.0,92.0,64.0
6,MountainRock,246,867,27.0,28.0,32.0,38.0,39.0,42.0,44.0,49.0,51.0,82.0,78.0,50.0
6,MountainRock,251,852,16.0,17.0,21.0,28.0,27.0,42.0,49.0,54.0,62.0,47.0,42.0,56.0
6,MountainRock,251,857,15.0,20.0,22.0,27.0,34.0,38.0,40.0,45.0,62.0,67.0,61.0,47.0
6,MountainRock,251,862,23.0,27.0,31.0,36.0,40.0,44.0,48.0,51.0,58.0,90.0,80.0,54.0
6,MountainRock,251,867,23.0,28.0,33.0,38.0,42.0,44.0,47.0,51.0,53.0,85.0,80.0,53.0
6,MountainRock,200,805,37.0,45.0,40.0,48.0,50.0,52.0,56.0,66.0,77.0,99.0,94.0,63.0
6,MountainRock,200,810,29.0,36.0,38.0,45.0,52.0,56.0,60.0,62.0,78.0,96.0,90.0,65.0
6,MountainRock,200,815,33.0,38.0,44.0,50.0,53.0,56.0,59.0,64.0,73.0,97.0,101.0,63.0
6,MountainRock,200,820,29.0,36.0,41.0,46.0,48.0,49.0,51.0,53.0,67.0,87.0,89.0,57.0
6,MountainRock,205,805,42.0,50.0,57.0,64.0,68.0,70.0,74.0,78.0,95.0,124.0,121.0,81.0
6,MountainRock,205,810,25.0,30.0,34.0,40.0,44.0,47.0,50.0,56.0,70.0,92.0,89.0,58.0
